Meal,Calories (kcal),Protein (g),Carbs (g),Fat (g),Sugar (g),Tags,Type,Score
Benne Dosa + Sambar,460,12,44,18,2,"energy_boost, taste_rich",Breakfast,12
Ragi Idli + Chutney,340,12,34,10,2,"diabetic_friendly, protein_rich, soft_texture",Breakfast,14
Scrambled Eggs on Whole Wheat Toast,370,18,30,18,3,"protein_rich, brain_health, easy_digest",Other,14
Vegetable Pasta with Olive Oil,480,12,55,18,4,"gut_friendly, omega_3_rich, energy_sustaining",Other,12
Grilled Salmon + Steamed Broccoli,460,32,12,28,1,"omega_3_rich, anti_cancer, heart_healthy",Other,14
Oats Pancakes + Fruit Compote,350,10,40,12,8,"fiber_rich, antioxidant_boost, iron_rich",Breakfast,13
Hummus + Whole Wheat Pita + Veggies,390,14,40,14,2,"plant_protein, good_fats, iron_rich",Other,16
Lentil Soup (Middle Eastern style),320,16,28,8,1,"immunity_boost, protein_rich, digestion_support",Other,15
Grilled Paneer Wrap + Greens,430,21,32,18,2,"protein_rich, calcium_boost, vitamin_B12_support",Other,14
Greek Yogurt Bowl + Nuts + Berries,360,15,28,14,10,"probiotic_rich, antioxidant_boost, gut_health",Other,13
Avocado Toast + Boiled Egg,400,14,25,22,2,"good_fats, brain_support, fiber_rich",Breakfast,14
Chickpea Salad + Olive Dressing,350,13,30,10,3,"plant_protein, gut_friendly, low_glycemic",Breakfast,18
Peanut Butter Banana Oats,380,14,45,16,12,"energy_boost, iron_rich, easy_digest",Breakfast,12
Veggie Cheese Sandwich (Multigrain),410,16,35,18,4,"antioxidant_boost, heart_healthy, calcium_rich",Breakfast,14
Buddha Bowl (Quinoa + Chickpeas),450,20,40,18,3,"plant_protein, anti_inflammatory, fiber_rich",Other,16
Sushi (Veg or Salmon) + Edamame,430,22,36,12,4,"omega_3_rich, anti_cancer, low_fat",Other,15
Thai Basil Fried Rice (Veg/Tofu),470,15,50,18,5,"antioxidant_rich, B_vitamin_rich, gut_friendly",Other,14
"English Breakfast (eggs, toast, beans)",500,24,40,22,3,"balanced_meal, energy_boost, protein_rich",Other,13
Creamy Mushroom Risotto (Olive oil),440,10,45,18,3,"selenium_rich, vitamin_D, gut_health",Other,13
"Chicken Caesar Wrap (Lettuce, grilled chicken, low-fat sauce)",460,28,30,18,2,"lean_protein, low_glycemic, immunity_boost",Other,13
Falafel Wrap + Yogurt Dip,430,18,36,14,3,"plant_protein, probiotic_rich, anti_inflammatory",Other,17
"Smoothie Bowl (berries, yogurt, nuts)",350,14,32,12,10,"antioxidant_boost, probiotic_rich, skin_health",Other,14
Porridge with Chia Seeds & Almonds,300,10,45,12,4,"high_fiber, brain_health, heart_healthy",Other,15
Shakshuka (Eggs in Spicy Tomato),380,18,25,22,6,"protein_rich, vitamin_C, immune_boost",Other,12
Banana Oats Pancakes,350,12,50,14,14,"high_fiber, low_sugar, gut_health",Breakfast,13
Mango Smoothie with Almond Milk,280,8,45,10,28,"antioxidants, vitamin_C, immune_boost",Other,9
Chia Pudding with Almond Butter,340,12,32,20,5,"omega_3_rich, brain_health, heart_healthy",Other,12
Thai Green Curry with Tofu,420,18,35,20,5,"plant_protein, vitamin_B, anti-inflammatory",Other,14
Grilled Salmon & Veggie Wrap,500,32,45,22,4,"omega_3_rich, heart_healthy, protein_rich",Other,13
Chicken Teriyaki with Brown Rice,470,28,45,18,5,"lean_protein, energy_sustaining, low_cholesterol",Other,12
Grilled Shrimp with Garlic & Lemon,360,30,12,20,2,"protein_rich, low_calorie, anti-inflammatory",Other,14
Vegetable Stir-fry with Tofu,380,20,35,18,6,"plant_protein, high_fiber, antioxidant_boost",Other,14
Baked Cod with Steamed Broccoli,400,35,20,22,3,"lean_protein, omega_3_rich, low_sodium",Other,14
Roast Chicken with Sweet Potato,450,30,38,18,6,"protein_rich, vitamin_A, anti_inflammatory",Other,13
